image,ground_truth,prediction,CER_score
test001_1.jpg,test001_1,"The image captures a close-up view of a license plate, which is affixed to a black",8.6667
test001_2.jpg,test001_2,The image you've shared appears to be a close-up of a license plate from a black and,8.8889
test001_3.jpg,test001_3,"The image you've shared is a close-up of a license plate from South Korea, specifically a",9.5556
test002_1.jpg,test002_1,"The image captures a close-up view of a black license plate, which is affixed to a",8.6667
test003_1.jpg,test003_1,"The image captures a close-up view of a black license plate, which is affixed to a",8.6667
test003_2.jpg,test003_2,"The image you've shared is a close-up of a license plate from South Korea, specifically from",9.8889
test004_1.jpg,test004_1,"The image you've shared is a close-up of a license plate from South Africa, specifically from",10.0
test005_1.jpg,test005_1,"The image you've shared is a close-up of a black license plate from Hong Kong, China",9.0
test006_1.jpg,test006_1,"The image you've shared is a close-up of a license plate from Kansas City, Missouri.",8.8889
test007_1.jpg,test007_1,"The image you've shared is a close-up of a license plate from the United Kingdom, specifically",10.1111
test008_1.jpg,test008_1,"The image you've shared is a close-up of a license plate from India, specifically from the",9.6667
test008_2.jpg,test008_2,The image you've shared is a close-up of a license plate from the year 1997,8.0
test009_1.jpg,test009_1,The image you've shared is a close-up of a license plate from the United States. The,9.0
test009_2.jpg,test009_2,"The image captures a close-up view of a license plate, which is affixed to a vehicle",8.8889
test010_1.jpg,test010_1,"The image captures a close-up view of a license plate, which is affixed to a black",8.6667
test010_2.jpg,test010_2,"The image captures a close-up view of a license plate, which is affixed to a black",8.6667
test011_1.jpg,test011_1,"The image you've shared is a close-up of a license plate from Illinois, United States.",9.1111
test011_2.jpg,test011_2,The image you've shared appears to be a close-up of a license plate from a black car,8.8889
test011_3.jpg,test011_3,"The image you've shared is a close-up of a license plate from the United States, specifically",10.0
test012_1.jpg,test012_1,"The image captures a close-up view of a black license plate, which is affixed to a",8.6667
test013_1.jpg,test013_1,"The image captures a close-up view of a black license plate, which is affixed to a",8.6667
test013_2.jpg,test013_2,"The image you've shared is a close-up of a license plate from the United States, specifically",10.0
test014_1.jpg,test014_1,The image you've shared is a close-up of a license plate from a car. The license,8.5556
test015_1.jpg,test015_1,The image you've shared is a close-up of a license plate from the United States. The,9.0
test016_1.jpg,test016_1,"The image you've shared is a close-up of a license plate from Germany, specifically from the",9.8889
test017_1.jpg,test017_1,"The image you've shared is a close-up of a black license plate from South Africa, bearing",9.5556
test018_1.jpg,test018_1,The image you've shared appears to be a close-up of a license plate from the United States,9.5556
test019_1.jpg,test019_1,The image you've shared is a close-up of a license plate from the state of New Jersey,9.0
test019_2.jpg,test019_2,The image you've shared is a close-up of a black and white license plate from New York,9.1111
